Question,Target Source,Retrieved Candidates,Hit
What specific measures are in place to protect customer data from cyber threats?,"361_et.pdf, Page 11","['361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf']",1
Is it permissible to ignore anomalies detected in our cyber defense systems?,"361_et.pdf, Page 19","['361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf', '361_et.pdf']",1
Am I allowed to grant credit to related parties under non-market conditions?,"311_et.pdf, Page 33","['311_et.pdf', '311_et.pdf', '311a_en.pdf', '411_et.pdf', '311a_en.pdf']",1
Whose responsibility is it to ensure compliance with anti-money laundering regulations?,"311_et.pdf, Page 6","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",0
Are we allowed to allocate insufficient resources to the AML/CFT Officer?,"411_et.pdf, Page 7","['411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf', '411_et.pdf']",1
Must we report updates to the Supervisor's Letter?,"362_et.pdf, Page 12","['362_et.pdf', '310_et.pdf', '361_et.pdf', '411_et.pdf', '311_et.pdf']",1
Is it acceptable to skip training sessions for compliance staff?,"411_et.pdf, Page 20","['411_et.pdf', '311_et.pdf', '311_et.pdf', '411_et.pdf', '411_et.pdf']",1
Am I allowed to grant loans to temporary beneficiaries of nondistancing policies?,"411_et.pdf, Page 47","['411_et.pdf', '411_et.pdf', '311_et.pdf', '311a_en.pdf', '411_et.pdf']",1
What are the specific credit limits set for individual borrowers in the banking corporation?,"311_et.pdf, Page 42","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
Must we ensure that credit to related parties is subject to suitable control?,"311_et.pdf, Page 33","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311a_en.pdf', '311_et.pdf']",1
Must we have a clearly established process for granting new credit?,"311_et.pdf, Page 2","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
Am I allowed to skip the periodic review of credit ratings for individual borrowers?,"311_et.pdf, Page 41","['311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf', '311_et.pdf']",1
