Question,Model Answer,True Answer,Correct?,Model Citation,Model Explanation
"Must we define procedures for cyber incident management?

### Response:
",Yes,Yes,✅ Yes,"75. The banking corporation shall define procedures for cyber incident management, including alerting, reporting, handling, responding and concluding, in accordance to its severity and stages.",Procedures ensure consistent handling of cyber incidents.
"Must we ensure that senior management is capable of managing credit activities?

### Response:
",Yes,Yes,✅ Yes,"The board of directors should ensure that senior management is fully capable of managing the credit activities conducted by the banking corporation and that such activities are done within the risk strategy, policies, and tolerances that the board has approved.",Compliance with risk management and control standards is essential.
"Must we report the identification details of a temporary beneficiary of nondistancing policy?

### Response:
",Yes,Yes,✅ Yes,"When opening an account for a political asylum seeker in Israel or for a temporary beneficiary of nondistancing policy (“the customer”), the banking corporation is to list the identification details noted in Section 2(a) of the Order as follows:",Temporary beneficiaries of nondistancing policy are subject to reporting requirements.
"Am I allowed to deny service to a customer based on AML/CFT reasons?

### Response:
",Yes,Yes,✅ Yes,inquiry into whether a banking corporation denied service to the customer for reasons related to AML/CFT.,"Denial of service for AML/CFT reasons is allowed, but must be documented."
"Must the credit-risk management approach correspond to the level of sophistication of our activity?

### Response:
",Yes,Yes,✅ Yes,The credit-risk management approach that a banking corporation applies shall correspond to the extent of its activity and its level of sophistication.,Credit-risk management approach should align with the banking corporation's level of sophistication and activity.
"Can the banking corporation operate without an estimated date for the audit completion?

### Response:
",No,No,✅ Yes,with notation of the estimated date of completing the audit;,Estimated date is a required condition for operating without an audit completion.
"Must we report a cyber incident to the Supervisor of Banks?

### Response:
",Yes,Yes,✅ Yes,"The banking corporation shall report to the Supervisor of Banks on a cyber incident or on a cyber incident alert, in accordance with the Reporting to Banking Supervision Directive.",Reporting cyber incidents is mandatory to ensure prompt identification and mitigation of potential risks.
"Must we address the important control functions relating to the review of individual credits?

### Response:
",Yes,Yes,✅ Yes,"Furthermore, the policies shall address equally the important control functions relating to the review of individual credits and the assurance of appropriate diversification at the portfolio level.",Control functions must be addressed to ensure proper credit risk management.
"Is it necessary to have a clearly established process for credit limit setting?

### Response:
",Yes,Yes,✅ Yes,Principle 6: A banking corporation shall have a clearly established process in place,Establishing a clear process ensures consistent and effective credit limit setting.
"Is it optional to include safety coefficients in our credit policy?

### Response:
",No,No,✅ Yes,"This reference shall include, inter alia, (iii) specification of safety coefficients (or ranges of safety coefficients) to be applied.",Safety coefficients are a required component of the credit policy.
"Is the Chief Cyber Defense Officer required to work with the Chief Risk Officer?

### Response:
",Yes,Yes,✅ Yes,"In particular, the Chief Cyber Defense Officer shall collaborate with the Chief Risk Officer and the Internal Audit, in accordance with the relevant PCBBDs.",Collaboration between the Chief Cyber Defense Officer and the Chief Risk Officer is necessary for effective risk management.
"Am I allowed to manage investment portfolios without proper authorization?

### Response:
",No,No,✅ Yes,"“Managed account”—An account intended for managing investment portfolios, in this regard “managing investment portfolios” – as it is defined in Proper Conduct of Banking Business Directive no. 462—“Customers’ Investments in Financial Assets via Portfolio Managers”.",Proper authorization is required to manage investment portfolios.
"Am I allowed to ignore the outcomes of scenario analyses when updating credit policies?

### Response:
",No,No,✅ Yes,A banking corporation should also bear the scenario analysis outcomes in mind when determining and updating credit policies and activity limits.,Scenario analysis outcomes must be considered when updating credit policies and activity limits.
"Must we monitor the implementation of ML/FT risk management policies?

### Response:
",Yes,Yes,✅ Yes,"boards of directors and senior management must have in place policies and procedures for management of ML/FT risks, and must monitor their implementation, as inseparable parts of banking activity.",Regular monitoring ensures compliance with regulations and minimizes ML/FT risks.
"Must we report the desired risk profile of the credit portfolio?

### Response:
",Yes,Yes,✅ Yes,"d. the desired risk profile of the credit portfolio, including a breakdown of types of loans that the banking corporation  issues, business objectives and target markets, and composition of the credit portfolio —quantitative targets at the portfolio and product levels (for significant products), with reference to indicators of magnitude, diversification, and risk;",Reporting desired risk profile is necessary for effective risk management and regulatory compliance.
